"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"4156","Ahri","Mage","MID","S",61.65,"-2.29",0.499,0.9266,0.0777,0.0364,2.53,"13_19"
"4157","Akali","Assassin","MID","S",60.87,"1.1",0.4943,0.701,0.0736,0.1248,2.35,"13_19"
"4158","Akali","Assassin","TOP","B",47.41,"-0.3",0.4873,0.2882,0.0295,0.1248,2.07,"13_19"
"4159","Akshan","Marksman","MID","A",49.03,"0.44",0.5164,0.6801,0.0257,0.0542,2.21,"13_19"
"4160","Akshan","Marksman","TOP","C",40.74,"-0.85",0.5155,0.2375,0.0085,0.0542,1.98,"13_19"
"4161","Alistar","Tank","SUPPORT","S",63.61,"1.14",0.5124,0.9517,0.0644,0.0324,2.53,"13_19"
"4162","Amumu","Tank","JUNGLE","B",45.96,"-1.11",0.5008,0.7358,0.0243,0.0118,2.61,"13_19"
"4163","Amumu","Tank","SUPPORT","C",37.72,"0.5",0.51,0.2368,0.0068,0.0124,2.08,"13_19"
"4164","Anivia","Mage","MID","A",51.45,"4.08",0.5254,0.7707,0.0183,0.0195,2.84,"13_19"
"4165","Anivia","Mage","SUPPORT","D",23.02,"-4.69",0.4433,0.1582,0.0036,0.0198,2.07,"13_19"
"4166","Annie","Mage","MID","B",45.89,"-0.34",0.5142,0.7593,0.0141,0.0069,2.34,"13_19"
"4167","Annie","Mage","SUPPORT","D",34.08,"0.78",0.4951,0.193,0.0036,0.0073,2.22,"13_19"
"4168","Aphelios","Marksman","ADC","C",40.07,"-0.29",0.4785,0.9785,0.0557,0.0098,1.97,"13_19"
"4169","Ashe","Marksman","ADC","S",62.14,"-2.4",0.5165,0.8897,0.1186,0.079,2.36,"13_19"
"4170","Aurelion Sol","Mage","MID","A",51.27,"-0.79",0.513,0.8583,0.0312,0.0196,2.53,"13_19"
"4171","Azir","Mage","MID","B",44.41,"-1.01",0.4923,0.9141,0.0278,0.0074,2.07,"13_19"
"4172","Bard","Support","SUPPORT","S",55.9,"-3.3",0.5163,0.9706,0.0393,0.009,3.02,"13_19"
"4173","Bel'Veth","Fighter","JUNGLE","S",55.5,"2.06",0.5172,0.9401,0.0494,0.1558,2.49,"13_19"
"4174","Blitzcrank","Tank","SUPPORT","God",84.85,"0.92",0.5047,0.9834,0.0929,0.2635,2.42,"13_19"
"4175","Brand","Mage","SUPPORT","B",47.09,"1.21",0.506,0.6901,0.0348,0.0344,1.77,"13_19"
"4176","Brand","Mage","MID","C",40.64,"0.91",0.4995,0.1948,0.0091,0.0344,2.03,"13_19"
"4177","Braum","Support","SUPPORT","B",47.18,"-0.4",0.4982,0.9877,0.0295,0.0074,2.75,"13_19"
"4178","Briar","NULL","JUNGLE","God",91.86,"3.12",0.5006,0.8436,0.138,0.4866,2.18,"13_19"
"4179","Briar","NULL","TOP","D",35.91,"-2.96",0.4441,0.1155,0.0187,0.4866,1.45,"13_19"
"4180","Caitlyn","Marksman","ADC","S",64.03,"3.04",0.5034,0.9374,0.1468,0.0852,2.17,"13_19"
"4181","Camille","Fighter","TOP","S",56.24,"0.83",0.5182,0.9348,0.0388,0.022,1.98,"13_19"
"4182","Cassiopeia","Mage","MID","B",46.31,"-0.41",0.5138,0.7339,0.0191,0.0201,2.16,"13_19"
"4183","Cassiopeia","Mage","ADC","C",42.26,"1.38",0.5265,0.1039,0.0029,0.02,2.33,"13_19"
"4184","Cassiopeia","Mage","TOP","C",40.16,"-2.18",0.5268,0.1476,0.0039,0.02,1.91,"13_19"
"4185","Cho'Gath","Tank","TOP","A",49.72,"2.24",0.517,0.6308,0.0251,0.0087,2.1,"13_19"
"4186","Cho'Gath","Tank","MID","B",45.12,"0.99",0.5199,0.189,0.0061,0.0092,2.41,"13_19"
"4187","Corki","Marksman","MID","D",34.72,"-2.85",0.4635,0.8527,0.0072,0.0015,2.2,"13_19"
"4188","Corki","Marksman","ADC","D",30.27,"3.96",0.4721,0.1105,0.0009,0.0017,2.11,"13_19"
"4189","Darius","Fighter","TOP","God",84.89,"3.86",0.5078,0.9353,0.0859,0.1776,1.86,"13_19"
"4190","Diana","Fighter","JUNGLE","A",52.37,"2.41",0.5137,0.7134,0.0486,0.0197,2.42,"13_19"
"4191","Diana","Fighter","MID","B",45.6,"-0.21",0.5138,0.2628,0.0168,0.0197,2.14,"13_19"
"4192","Dr. Mundo","Marksman","TOP","B",48.06,"0.54",0.5222,0.8741,0.0221,0.0182,1.88,"13_19"
"4193","Draven","Fighter","ADC","B",44.1,"-1.05",0.4843,0.9655,0.0571,0.1798,2.04,"13_19"
"4194","Ekko","Assassin","JUNGLE","A",55.21,"0.55",0.5115,0.6645,0.058,0.0376,2.66,"13_19"
"4195","Ekko","Assassin","MID","B",46.04,"-2.92",0.4965,0.3078,0.0267,0.0376,2.26,"13_19"
"4196","Elise","Mage","JUNGLE","B",46.88,"0.03",0.5037,0.9312,0.0221,0.019,2.77,"13_19"
"4197","Evelynn","Assassin","JUNGLE","A",54.44,"0.04",0.5118,0.9752,0.045,0.1138,2.88,"13_19"
"4198","Ezreal","Marksman","ADC","God",81.32,"2.24",0.5087,0.9563,0.2183,0.1024,2.52,"13_19"
"4199","Fiddlesticks","Mage","JUNGLE","A",48.57,"-2.04",0.5044,0.7838,0.0304,0.0334,2.73,"13_19"
"4200","Fiddlesticks","Mage","SUPPORT","C",36.65,"-0.71",0.5102,0.139,0.0048,0.0327,2,"13_19"
"4201","Fiora","Fighter","TOP","S",60.59,"1.11",0.5107,0.9754,0.0496,0.107,1.69,"13_19"
"4202","Fizz","Assassin","MID","S",57.19,"1.54",0.5111,0.9459,0.0525,0.0834,2.44,"13_19"
"4203","Galio","Tank","MID","B",47.68,"2.09",0.5137,0.7194,0.0161,0.0025,2.61,"13_19"
